TITLE,RELEASED,IMDB__RATING,IMDB__VOTES,GENRES,partition_date
Sicario,2015-10-01 17:00:00-07:00,7.9,1689.0,Action,2015-10-01
Crumbs,2015-10-22 17:00:00-07:00,6.1,81.0,Adventure,2015-10-01
Sicario,2015-10-01 17:00:00-07:00,7.9,1689.0,Crime,2015-10-01
Sicario,2015-10-01 17:00:00-07:00,7.9,1689.0,Drama,2015-10-01
Crumbs,2015-10-22 17:00:00-07:00,6.1,81.0,Fantasy,2015-10-01
Crumbs,2015-10-22 17:00:00-07:00,6.1,81.0,Mystery,2015-10-01
Landmine Goes Click,2015-11-19 16:00:00-08:00,7.6,289.0,Action,2015-11-01
Landmine Goes Click,2015-11-19 16:00:00-08:00,7.6,289.0,Crime,2015-11-01
Landmine Goes Click,2015-11-19 16:00:00-08:00,7.6,289.0,Drama,2015-11-01
